Namn,Linje,Invigningsår,Avstånd,Kommun,Stationstyp,Latitude,Longitude
Abrahamsberg,Grön,1952,8,1,Stockholms kommun,Ytstation,59.336680,17.952950
Akalla,Blå,1977,14,5,Stockholms kommun,Bergstation,59.414814,17.912796
Alby,Röd,1975,20,5,Botkyrka kommun,Bergstation,59.239498,17.845332
Alvik,Grön,1952,6,5,Stockholms kommun,Ytstation,59.333633,17.980269
Aspudden,Röd,1964,6,2,Stockholms kommun,Bergstation,59.306449,18.001447
Axelsberg,Röd,1965,7,9,Stockholms kommun,Ytstation,59.304364,17.974920
Bagarmossen,Grön,1958,8,5,Stockholms kommun,Bergstation från 1994, den tidigare ytstationen nedlagd,59.276263,18.131467
Bandhagen,Grön,1954,8,0,Stockholms kommun,Ytstation,59.270403,18.049486
Bergshamra,Röd,1978,7,3,Solna kommun,Bergstation,59.381509,18.036514
Björkhagen,Grön,1958,6,3,Stockholms kommun,Ytstation,59.291114,18.115520
Blackeberg,Grön,1952,12,6,Stockholms kommun,Ytstation med ena änden i berg,59.348357,17.882799
Blåsut,Grön,1950,5,1,Stockholms kommun,Ytstation,59.290242,18.091061
Bredäng,Röd,1965,10,5,Stockholms kommun,Ytstation,59.294835,17.933812
Brommaplan,Grön,1952,9,0,Stockholms kommun,Ytstation,59.338388,17.939260
Danderyds sjukhus,Röd,1978,8,6,Danderyds kommun,Betongstation,59.391901,18.041368
Duvbo,Blå,1985,8,2,Sundbybergs kommun,Bergstation,59.367891,17.964618
Enskede gård,Grön,1951,5,3,Stockholms kommun,Ytstation,59.289397,18.070296
Farsta,Grön,1958,10,9,Stockholms kommun,Ytstation,59.243552,18.093281
Farsta strand,Grön,1971,11,9,Stockholms kommun,Ytstation,59.235012,18.101740
Fittja,Röd,1972,19,0,Botkyrka kommun,Ytstation,59.247462,17.860964
Fridhemsplan,Blå,1975,2,0,Stockholms kommun,Bergstation,59.332203,18.029188
Fridhemsplan,Grön,1952,3,6,Stockholms kommun,Bergstation,59.332203,18.029188
Fruängen,Röd,1964,9,6,Stockholms kommun,Ytstation,59.285927,17.965005
Gamla stan,Grön,1957,1,1,Stockholms kommun,Betongstation med ena änden i ytläge,59.323160,18.067617
Gamla stan,Röd,1964,1,1,Stockholms kommun,Ytstation,59.323160,18.067617
Globen (tidigare Isstadion och Slakthuset),Grön,1951,4,5,Stockholms kommun,Ytstation,59.294278,18.077972
Gubbängen,Grön,1950,8,2,Stockholms kommun,Ytstation,59.262879,18.082036
Gullmarsplan,Grön,1950,3,8,Stockholms kommun,Ytstation, delvis överbyggd av betong,59.299114,18.080768
Gärdet,Röd,1967,2,9,Stockholms kommun,Bergstation,59.347206,18.098791
Hagsätra,Grön,1960,11,5,Stockholms kommun,Ytstation,59.262726,18.012486
Hallonbergen,Blå,1975,8,0,Sundbybergs kommun,Bergstation,59.375450,17.969212
Hallunda,Röd,1975,21,6,Botkyrka kommun,Ytstation,59.243273,17.825609
Hammarbyhöjden,Grön,1958,5,3,Stockholms kommun,Ytstation,59.294763,18.104554
Hjulsta,Blå,1975,13,8,Stockholms kommun,Bergstation,59.396171,17.887716
Hornstull,Röd,1964,3,9,Stockholms kommun,Bergstation,59.315834,18.034024
Husby,Blå,1977,13,6,Stockholms kommun,Bergstation,59.410257,17.925641
Huvudsta,Blå,1985,5,2,Solna kommun,Bergstation,59.349544,17.985698
Hägerstensåsen,Röd,1964,8,2,Stockholms kommun,Ytstation,59.295572,17.979154
Hässelby gård,Grön,1956,16,2,Stockholms kommun,Ytstation,59.366902,17.843767
Hässelby strand,Grön,1958,17,1,Stockholms kommun,Ytstation,59.361283,17.832351
Högdalen,Grön,1954,8,8,Stockholms kommun,Ytstation,59.263795,18.043004
Hökarängen,Grön,1950,9,2,Stockholms kommun,Ytstation,59.257925,18.082494
Hötorget (tidigare Kungsgatan),Grön,1952,0,5,Stockholms kommun,Betongstation,59.335529,18.063536
Islandstorget,Grön,1952,11,8,Stockholms kommun,Ytstation,59.345858,17.894017
Johannelund,Grön,1956,15,5,Stockholms kommun,Ytstation,59.367944,17.857467
Karlaplan,Röd,1967,2,1,Stockholms kommun,Bergstation,59.338810,18.090863
Kista,Blå,1977,12,4,Stockholms kommun,Ytstation,59.402868,17.942433
Kristineberg,Grön,1952,5,2,Stockholms kommun,Ytstation,59.332815,18.003182
Kungsträdgården,Blå,1977,0,5,Stockholms kommun,Bergstation,59.330783,18.073298
Kärrtorp,Grön,1958,7,0,Stockholms kommun,Ytstation,59.284507,18.114478
Liljeholmen,Röd,1964,4,9,Stockholms kommun,Betongstation från 2002, den tidigare ytstationen överdäckades,59.310710,18.023129
Mariatorget,Röd,1964,2,5,Stockholms kommun,Bergstation,59.316958,18.063311
Masmo,Röd,1972,17,6,Huddinge kommun,Bergstation,59.249682,17.880336
Medborgarplatsen,Grön,1950,2,1,Stockholms kommun,Betongstation,59.314342,18.073550
Midsommarkransen,Röd,1964,6,1,Stockholms kommun,Bergstation,59.301856,18.012037
Mälarhöjden,Röd,1965,9,0,Stockholms kommun,Bergstation,59.300921,17.957283
Mörby centrum,Röd,1978,9,6,Danderyds kommun,Bergstation,59.398706,18.036218
Norsborg,Röd,1975,22,3,Botkyrka kommun,Ytstation,59.243794,17.814526
Näckrosen,Blå,1975,7,0,Solna och Sundbybergs kommun,Bergstation,59.366740,17.983280
Odenplan,Grön,1952,1,9,Stockholms kommun,Betongstation,59.342954,18.049701
Rinkeby,Blå,1975,11,4,Stockholms kommun,Bergstation,59.388161,17.928778
Rissne,Blå,1985,9,5,Sundbybergs kommun,Bergstation,59.375837,17.939961
Ropsten,Röd,1967,4,3,Stockholms kommun,Ytstation med ena änden i berg,59.357301,18.102216
Råcksta,Grön,1952,13,5,Stockholms kommun,Ytstation,59.354802,17.881819
Rådhuset,Blå,1975,1,2,Stockholms kommun,Bergstation,59.330298,18.042070
Rådmansgatan,Grön,1952,1,3,Stockholms kommun,Betongstation,59.340572,18.058771
Rågsved,Grön,1959,10,0,Stockholms kommun,Ytstation,59.256577,18.028136
Sandsborg,Grön,1950,5,7,Stockholms kommun,Ytstation,59.284785,18.092382
Sankt Eriksplan,Grön,1952,2,6,Stockholms kommun,Betongstation,59.339655,18.036991
Skanstull,Grön,1950,2,7,Stockholms kommun,Betongstation,59.307852,18.076229
Skarpnäck,Grön,1994,9,6,Stockholms kommun,Bergstation,59.266816,18.133346
Skogskyrkogården,Grön,1950,6,5,Stockholms kommun,Ytstation,59.279194,18.095501
Skärholmen,Röd,1967,13,2,Stockholms kommun,Betongstation,59.277144,17.907007
Skärmarbrink,Grön,1950,4,5,Stockholms kommun,Ytstation,59.295366,18.090440
Slussen,Grön,1950,1,5,Stockholms kommun,Betongstation,59.319493,18.072327
Slussen,Röd,1964,1,5,Stockholms kommun,Betongstation,59.319493,18.072327
Sockenplan,Grön,1951,6,1,Stockholms kommun,Ytstation,59.283302,18.070592
Solna centrum,Blå,1975,5,7,Solna kommun,Bergstation,59.358856,17.998975
Solna strand (tidigare Vreten),Blå,1985,6,2,Solna kommun,Bergstation,59.354191,17.973985
Stadion,Röd,1973,1,9,Stockholms kommun,Bergstation,59.342963,18.081703
Stadshagen,Blå,1975,2,8,Stockholms kommun,Bergstation,59.336959,18.017322
Stora mossen,Grön,1952,7,5,Stockholms kommun,Ytstation,59.334532,17.966192
Stureby,Grön,1951,7,3,Stockholms kommun,Ytstation,59.274600,18.055625
Sundbybergs centrum,Blå,1985,7,2,Sundbybergs kommun,Bergstation,59.360897,17.972214
Svedmyra,Grön,1951,6,7,Stockholms kommun,Ytstation,59.277639,18.067230
Sätra,Röd,1965,11,8,Stockholms kommun,Ytstation,59.284983,17.921371
Tallkrogen,Grön,1950,7,5,Stockholms kommun,Ytstation,59.271140,18.085326
T-Centralen,Blå,1975,0,0,Stockholms kommun,Bergstation,59.330945,18.059266
T-Centralen,Grön,1957,0,0,Stockholms kommun,Betongstation,59.330945,18.059266
T-Centralen,Röd,1964,0,0,Stockholms kommun,Betongstation,59.330945,18.059266
Tekniska högskolan,Röd,1973,3,0,Stockholms kommun,Bergstation,59.345822,18.071716
Telefonplan,Röd,1964,6,9,Stockholms kommun,Ytstation,59.298323,17.997231
Tensta,Blå,1975,12,9,Stockholms kommun,Bergstation,59.394481,17.901164
Thorildsplan,Grön,1952,4,6,Stockholms kommun,Ytstation,59.331817,18.015434
Universitetet,Röd,1975,5,3,Stockholms kommun,Bergstation,59.365571,18.054888
Vårberg,Röd,1967,14,1,Stockholms kommun,Ytstation,59.275931,17.890161
Vårby gård,Röd,1972,15,7,Huddinge kommun,Ytstation,59.264613,17.884399
Vällingby,Grön,1952,14,5,Stockholms kommun,Ytstation,59.363252,17.872066
